Title,Pages,Price
Mastering Python Design Patterns,212,5044
Always Be Yourself Unless You Can Be A Python Then Be A Python: Song Writing Journal,103,837
Python GUI Programming Cookbook: Develop functional and responsive user interfaces with tk...,486,4775
"Trust Me, I'm a Python Developer: Dot Grid Notebook - 6 x 9 inches, 110 Pages - Tailored, ...",110,1018
Deep Learning with Python DEEP LEARNING W/PYTHON [ Francois Chollet ],-1,12320
Python for Kids: A Playful Introduction to Programming,344,4190
Python for Data Science,31,1164
Python Lab1 Excel openpyxl: Visual Programming (Python Labs),82,2280
"Coding Club Python Basics Level 1 (Coding Club, Level 1)",83,469
Neuronale Netze programmieren mit Python: Ihre Einfuehrung in die Kuenstliche Intelligenz....,447,3706
Hands-On GPU Programming with Python and CUDA: Explore high-performance parallel computing...,310,5354
A Collection of Advanced Data Science and Machine Learning Interview Questions Solved in P...,106,269
Think Python: How to Think Like a Computer Scientist,292,5374
Nonlinear Digital Filtering with Python: An Introduction,300,9809
Como obtener un sistema de recomendacion de productos con Python de forma sencilla.: Miner...,49,1803
Coffee Break NumPy: A Simple Road to Data Science Mastery That Fits Into Your Busy Life (C...,224,3556
Hands-On Machine Learning for Cybersecurity: Safeguard your system by making your machines...,318,5374
"Learn Data Analytics For Beginners: Data Analyst, Deep Learning, Neural Network, Python Da...",135,816
Learning Scientific Programming with Python,460,5080
Python for Beginners: Practical Introduction to Python Programming. Learn Fast and Well Py...,206,2069
Python 3: Programmieren fuer Einsteiger - Vom Anfaenger zum Python-Profi innerhalb 30 Tage...,168,1219
Programming: This Book Includes: Machine Learning + Python Machine Learning + Python Progr...,459,3322
Python for Beginners: The Crash Course to Learn Python Programming Fast (10 Python Project...,103,1430
Programmieren mit Python und Matlab,138,2461
Dot Grid Notebook: Vintage Style Python Snake Pattern Print - Dotted Bullet Style Snake No...,120,1099
Practical Cryptography in Python: Learning Correct Cryptography by Example,371,7456
Machine Learning With Python: An In-Depth Guide for Experts,154,2384
"Python For Data Analysis: A Step-by-Step Guide to Pandas, NumPy, and SciPy for Data Wrangl...",126,2200
Python: Python in proteomics,38,4583
PYTHON 3 PROGRAMMING: A simple guide to write code & object-oriented language. Learn all t...,237,2563
Programming for Computations - Python: A Gentle Introduction to Numerical Simulations with...,-1,7457
Python Data Science Handbook: Essential Tools for Working with Data,548,8360
Hands-On Software Engineering with Python: Move beyond basic programming and construct rel...,736,5971
Coding with Python: A Simple Guide to Start learning: Lots of Exercises and Projects for D...,148,2045
Python for Tweens and Teens (Black & White Edition): Learn Computational and Algorithmic T...,352,3425
Beginning Anomaly Detection Using Python-Based Deep Learning: With Keras and PyTorch,416,4012
Python Machine Learning: A Hands-On Beginner's Guide to Effectively Understand Artificial ...,133,2277
Learn Python: Crash Course to Learn Algorithms Just By Doing Some Practice. It Will Really...,144,2286
"Notebook: Green Python , Journal for Writing, College Ruled Size 6&quot; x 9&quot;, 110 Pa...",110,1189
Python in a Nutshell: A Desktop Quick Reference,772,6368
Conceptual Programming with Python,256,2264
Machine Learning with Python: Discover How to Learn The Fundamentals to Create Machine Lea...,101,2079
Learn TensorFlow 2.0: Implement Machine Learning and Deep Learning Models with Python,195,5019
Hands-On Data Structures and Algorithms with Python: Write complex and powerful code using...,398,4776
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and...",622,4776
Python Machine Learning: Everything You Should Know About Python Machine Learning Includin...,138,1936
"Python Programming: The Complete Guide to Learn Python for Data Science, AI, Machine Learn...",192,1441
Python: 2 Books in 1: Introduction + Advanced  - The Complete Guide to Learn Python Progra...,346,2767
PYTHON FOR DATA SCIENCE: The Practical Beginner's Guide to Learn Python Data Science in On...,113,2143
Web Scraping with Python: Collecting More Data from the Modern Web【楽天海外直送】【英語の本】【洋書】,-1,3978
High Performance Python: Practical Performant Programming for Humans,450,7218
"Hands On Google Cloud SQL and Cloud Spanner: Deployment, Administration and Use Cases with...",347,4576
"Enterprise Architecture Patterns With Python: Enabling Test-driven Development, Domain-dri...",280,5969
Python Machine Learning,320,4777
YAML: Quick start including data processing and generation with Python and PHP,56,1099
Python: 2 Manuscripts in 1 book:  -Python For Beginners  -Python 3 Guide,256,3072
Mathematics and Python Programming,268,414
Python for Data Analysis: From the Beginner to Expert  Crash Course 3.0 that will Change y...,160,2072
"Python programming: The ultimate beginners guide to learn Python language fundamentals, ti...",187,2207
PYTHON FOR BEGINNERS: The Ultimate Step by Step Learning Guide for Beginners to Python Pro...,78,2340
Gray Hat Python: Python Programming for Hackers and Reverse Engineers【楽天海外直送】【英語の本】【洋書】,-1,5772
Mastering GUI Programming with Python: Develop impressive cross-platform GUI applications ...,542,4470
"Python Programming: The Beginners Crash Course to Learn Coding, Data Analytics and Machine...",165,2400
Coding - Computer programming (beginners onwards): Everything you need to get started with...,192,3045
Praxisbuch Unueberwachtes Lernen: Machine-Learning-Anwendungen fuer ungelabelte Daten mit ...,384,4902
Advanced Python Tips: Advanced Python explained Simply,42,2373
Green Tree Python: The Complete Guide On Everything You Need To Know About Green Tree Pyth...,26,835
Flask Web Development: Developing Web Applications with Python,316,5374
"Functional Python Programming: Discover the power of functional programming, generator fun...",408,5971
Functional Python Programming,360,5395
Python Programming: 100% Practical Guide for Absolute Beginners!,89,1544
Sketchbook: Floral Flower Vintage Retro   Ball Python Lover Tshir Spring Flowers - Leaves ...,110,776
QR code reading through a humanoid robot: Python techinques for QR code reading,44,1422
An Introduction to Statistics with Python: With Applications in the Life Sciences (Statist...,278,6747
Programmer's Guide to the Brain: With Examples in Python,150,1800
Python Data Science: 3 Books in 1: Hands on Learning for Beginners+A Hands-on Guide Beyond...,686,3584
Expert Python Programming - Second Edition,536,4550
Rapid GUI Programming with Python and Qt: The Definitive Guide to PyQt Programming【楽天海外直送】...,-1,7642
Matplotlib 3.0 Cookbook: Over 150 recipes to create highly detailed interactive visualizat...,676,5374
Python: The Comprehensive Guide to Python Programming for Beginners: The Science of Comput...,80,1552
Software Architecture with Python,556,5794
"Regular Expression Pocket Reference: Regular Expressions for Perl, Ruby, PHP, Python, C, J...",128,2389
Natural Language Processing Using Python,280,5176
"Learn Python Programming: The no-nonsense, beginner's guide to programming, data science, ...",508,4187
Brain Games Python: 99 Brain Teasers for Beginners to Energize Your Brain Cells and Python...,193,3589
"Practical Docker with Python: Build, Release and Distribute your Python App with Docker",204,3715
"Python Crash Course: A Hands-On, Project-Based Introduction to Programming",560,4941
"Notebook: Do You Marry Me Python Language Programming Tech Code , Journal for Writing, Col...",110,1188
Learning Python: The Ultimate Guide to Learning How to Develop Applications for Beginners ...,137,2092
Introducing Python: Modern Computing in Simple Packages,484,4201
Palpable Python Beat it in 7 days,112,989
"A Gratitude Journal: Beautiful Gratitude Journal for Green tree python Lovers, Pet Snake O...",117,838
Website Scraping with Python: Using BeautifulSoup and Scrapy,244,3698
Python Programming Notebook: The Little Notebook Of Python Codes: Blank Ruled Lined Notebo...,120,956
Python for Everyone,752,14047
